,Genre,Country,Rating,Count
0,Action,US,5.556554092730394,1747.0
1,Adventure,US,5.863457760314342,1018.0
2,Animation,US,6.059808612440191,418.0
3,Comedy,US,5.673720223010644,3946.0
4,Crime,US,5.882819383259911,1362.0
5,Documentary,US,6.245274476513865,1767.0
6,Drama,US,5.9175538656527245,6312.0
7,Family,US,5.891604010025063,798.0
8,Fantasy,US,5.907344632768361,708.0
9,History,US,6.335859519408502,541.0
10,Horror,US,4.803061224489796,1372.0
11,Music,US,6.181180811808118,542.0
12,Mystery,US,5.735754985754986,702.0
13,Romance,US,5.908629164391043,1831.0
14,Science Fiction,US,5.480344332855093,697.0
15,TV Movie,US,5.362790697674418,86.0
16,Thriller,US,5.670855231724797,2093.0
17,War,US,6.247752808988763,356.0
18,Western,US,5.426729559748428,318.0
19,Action,FR,5.563953488372093,516.0
20,Adventure,FR,5.730249110320284,281.0
21,Animation,FR,6.015079365079365,126.0
22,Comedy,FR,5.710644910644911,1287.0
23,Crime,FR,5.89828431372549,408.0
24,Documentary,FR,6.26875,480.0
25,Drama,FR,5.886186974789916,1904.0
26,Family,FR,5.797899159663866,238.0
27,Fantasy,FR,5.788020833333334,192.0
28,History,FR,6.573722627737226,137.0
29,Horror,FR,4.85392405063291,395.0
30,Music,FR,6.341358024691358,162.0
31,Mystery,FR,5.689005235602094,191.0
32,Romance,FR,5.95414551607445,591.0
33,Science Fiction,FR,5.611956521739131,184.0
34,TV Movie,FR,5.942424242424242,33.0
35,Thriller,FR,5.6820770519262975,597.0
36,War,FR,6.427927927927928,111.0
37,Western,FR,5.5175824175824175,91.0
38,Action,GB,5.378819444444444,288.0
39,Adventure,GB,5.673214285714285,168.0
40,Animation,GB,6.216,75.0
41,Comedy,GB,5.485524372230428,677.0
42,Crime,GB,5.657073170731708,205.0
43,Documentary,GB,6.070903010033444,299.0
44,Drama,GB,5.866575342465753,1095.0
45,Family,GB,5.715625000000001,128.0
46,Fantasy,GB,5.704444444444444,90.0
47,History,GB,6.432323232323232,99.0
48,Horror,GB,4.902352941176471,255.0
49,Music,GB,6.116666666666667,78.0
50,Mystery,GB,5.941129032258064,124.0
51,Romance,GB,5.6418300653594775,306.0
52,Science Fiction,GB,5.519230769230769,130.0
53,TV Movie,GB,6.42142857142857,14.0
54,Thriller,GB,5.740782122905028,358.0
55,War,GB,6.371929824561403,57.0
56,Western,GB,5.260377358490566,53.0
57,Action,JP,5.4375,256.0
58,Adventure,JP,5.726760563380282,142.0
59,Animation,JP,6.102985074626864,67.0
60,Comedy,JP,5.3093059936908515,634.0
61,Crime,JP,5.728240740740741,216.0
62,Documentary,JP,5.981372549019609,306.0
63,Drama,JP,5.741579448144623,1051.0
64,Family,JP,5.839830508474576,118.0
65,Fantasy,JP,5.367073170731707,82.0
66,History,JP,6.225641025641025,78.0
67,Horror,JP,4.581447963800905,221.0
68,Music,JP,5.94776119402985,67.0
69,Mystery,JP,5.414516129032258,124.0
70,Romance,JP,5.699324324324325,296.0
71,Science Fiction,JP,5.352525252525251,99.0
72,TV Movie,JP,5.279999999999999,20.0
73,Thriller,JP,5.495588235294117,340.0
74,War,JP,5.566666666666666,48.0
75,Western,JP,4.776315789473684,38.0
76,Action,IN,5.1289655172413795,145.0
77,Adventure,IN,5.3425,80.0
78,Animation,IN,5.724528301886793,53.0
79,Comedy,IN,5.298119122257053,319.0
80,Crime,IN,5.655434782608695,92.0
81,Documentary,IN,6.161290322580645,186.0
82,Drama,IN,5.582393162393162,585.0
83,Family,IN,5.629824561403509,57.0
84,Fantasy,IN,5.215909090909091,44.0
85,History,IN,6.255813953488371,43.0
86,Horror,IN,4.648598130841122,107.0
87,Music,IN,5.61025641025641,39.0
88,Mystery,IN,5.066666666666666,48.0
89,Romance,IN,5.570700636942674,157.0
90,Science Fiction,IN,5.103333333333333,60.0
91,TV Movie,IN,6.322222222222222,9.0
92,Thriller,IN,5.417999999999999,150.0
93,War,IN,6.315384615384615,26.0
94,Western,IN,5.716666666666666,36.0
95,Action,KR,5.524137931034482,58.0
96,Adventure,KR,6.044,25.0
97,Animation,KR,6.5,20.0
98,Comedy,KR,5.585925925925926,135.0
99,Crime,KR,5.420967741935484,62.0
100,Documentary,KR,6.035526315789474,76.0
101,Drama,KR,5.8334710743801645,242.0
102,Family,KR,6.296,25.0
103,Fantasy,KR,5.8999999999999995,32.0
104,History,KR,5.955555555555556,9.0
105,Horror,KR,4.6080000000000005,50.0
106,Music,KR,6.8066666666666675,15.0
107,Mystery,KR,5.9,19.0
108,Romance,KR,5.822807017543861,57.0
109,Science Fiction,KR,4.742307692307692,26.0
110,TV Movie,KR,4.58,5.0
111,Thriller,KR,5.470833333333333,72.0
112,War,KR,4.4,7.0
113,Western,KR,5.5,18.0
114,Action,CN,5.059259259259259,27.0
115,Adventure,CN,6.35,10.0
116,Animation,CN,6.237500000000001,8.0
117,Comedy,CN,4.924324324324325,74.0
118,Crime,CN,5.445833333333333,24.0
119,Documentary,CN,6.261538461538462,26.0
120,Drama,CN,5.084259259259259,108.0
121,Family,CN,5.2749999999999995,4.0
122,Fantasy,CN,4.377777777777777,9.0
123,History,CN,5.8,6.0
124,Horror,CN,4.468421052631579,19.0
125,Music,CN,6.1000000000000005,3.0
126,Mystery,CN,4.816666666666667,12.0
127,Romance,CN,5.523076923076923,26.0
128,Science Fiction,CN,5.300000000000001,10.0
129,TV Movie,CN,4.25,2.0
130,Thriller,CN,5.262499999999999,32.0
131,War,CN,6.766666666666667,3.0
132,Western,CN,6.633333333333333,3.0
